	Warning:  warning, (EE) error, (NI) not implemented, (??) unknown.
[   508.234] Information:  XINPUT: Adding extended input device "AT Translated Set 2 keyboard" (type: KEYBOARD)
[   508.259] Information:  config/hal: Adding input device Video Bus
[   508.259] Information:  Using input driver 'evdev' for 'Video Bus'
[   508.259] Information:  Loading /usr/lib/xorg/modules/input/evdev_drv.so
[   508.259] Information:  Video Bus: Configuring as keyboard
[   508.259] Information:  XINPUT: Adding extended input device "Video Bus" (type: KEYBOARD)
[   508.262] Information:  config/hal: Adding input device Sleep Button
[   508.262] Information:  Using input driver 'evdev' for 'Sleep Button'
[   508.262] Information:  Loading /usr/lib/xorg/modules/input/evdev_drv.so
[   508.262] Information:  Sleep Button: Configuring as keyboard
[   508.262] Information:  XINPUT: Adding extended input device "Sleep Button" (type: KEYBOARD)
[   508.265] Information:  config/hal: Adding input device Power Button
[   508.265] Information:  Using input driver 'evdev' for 'Power Button'
[   508.265] Information:  Loading /usr/lib/xorg/modules/input/evdev_drv.so
[   508.265] Information:  Power Button: Configuring as keyboard
[   508.265] Information:  XINPUT: Adding extended input device "Power Button" (type: KEYBOARD)
[   508.268] Information:  config/hal: Adding input device Macintosh mouse button emulation
[   508.268] Information:  Using input driver 'evdev' for 'Macintosh mouse button emulation'
[   508.268] Information:  Loading /usr/lib/xorg/modules/input/evdev_drv.so
[   508.268] Information:  Macintosh mouse button emulation: Configuring as mouse
[   508.268] Information:  XINPUT: Adding extended input device "Macintosh mouse button emulation" (type: MOUSE)
[   508.268] Information:  Macintosh mouse button emulation: initialized for relative axes.
[   574.594] Information:  ImExPS/2 Generic Explorer Mouse: Close
[   574.594] Information:  UnloadModule: "evdev"
[   574.594] Information:  Unloading evdev
[   574.594] Information:  AT Translated Set 2 keyboard: Close
[   574.594] Information:  UnloadModule: "evdev"
[   574.594] Information:  Unloading evdev
[   574.594] Information:  Video Bus: Close
[   574.594] Information:  UnloadModule: "evdev"
[   574.594] Information:  Unloading evdev
[   574.594] Information:  Sleep Button: Close
[   574.594] Information:  UnloadModule: "evdev"
[   574.594] Information:  Unloading evdev
[   574.594] Information:  Power Button: Close
[   574.594] Information:  UnloadModule: "evdev"
[   574.594] Information:  Unloading evdev
[   574.594] Information:  Macintosh mouse button emulation: Close
[   574.594] Information:  UnloadModule: "evdev"
[   574.594] Information:  Unloading evdev
